month,countries,value,country_code
1966-08,Philippines,466,608
1966-08,Vietnam,na,704
1966-08,China,na,156
1966-08,Hong Kong,2279,344
1966-08,Japan,181,392
1966-08,United Kingdom,983,826
1966-08,France,na,250
1966-08,Germany,na,276
1966-09,Malaysia,9946,458
1966-09,Indonesia,547,360
1966-09,Thailand,1937,764
1966-09,Philippines,507,608
1966-09,Vietnam,na,704
1966-09,China,na,156
1966-09,Hong Kong,2094,344
1966-09,Japan,184,392
1966-09,United Kingdom,706,826
1966-09,France,na,250
1966-09,Germany,na,276
1966-10,Malaysia,9363,458
1966-10,Indonesia,733,360
1966-10,Thailand,3123,764
1966-10,Philippines,977,608
1966-10,Vietnam,na,704
1966-10,China,na,156
1966-10,Hong Kong,2766,344
1966-10,Japan,209,392
1966-10,United Kingdom,697,826
1966-10,France,na,250
1966-10,Germany,na,276
1966-11,Malaysia,10105,458
1966-11,Indonesia,936,360
1966-11,Thailand,3453,764
1966-11,Philippines,607,608
1966-11,Vietnam,na,704
1966-11,China,na,156
1966-11,Hong Kong,3214,344
1966-11,Japan,289,392
1966-11,United Kingdom,527,826
1966-11,France,na,250
1966-11,Germany,na,276
1966-12,Malaysia,12421,458
1966-12,Indonesia,904,360
1966-12,Thailand,2888,764
1966-12,Philippines,785,608
1966-12,Vietnam,na,704
1966-12,China,na,156
1966-12,Hong Kong,2321,344
1966-12,Japan,315,392
1966-12,United Kingdom,1221,826
1966-12,France,na,250
1966-12,Germany,na,276
1967-01,Malaysia,11385,458
1967-01,Indonesia,1035,360
1967-01,Thailand,2401,764
1967-01,Philippines,546,608
1967-01,Vietnam,na,704
1967-01,China,na,156
1967-01,Hong Kong,1718,344
1967-01,Japan,186,392
1967-01,United Kingdom,689,826
1967-01,France,na,250
1967-01,Germany,na,276
1967-02,Malaysia,11070,458
1967-02,Indonesia,1414,360
1967-02,Thailand,2419,764
1967-02,Philippines,536,608
1967-02,Vietnam,na,704
1967-02,China,na,156
1967-02,Hong Kong,1858,344
1967-02,Japan,204,392
1967-02,United Kingdom,530,826
1967-02,France,na,250
1967-02,Germany,na,276
1967-03,Malaysia,10877,458
1967-03,Indonesia,1772,360
1967-03,Thailand,2576,764
1967-03,Philippines,552,608
1967-03,Vietnam,na,704
1967-03,China,na,156
1967-03,Hong Kong,2389,344
1967-03,Japan,289,392
1967-03,United Kingdom,841,826
1967-03,France,na,250
1967-03,Germany,na,276
1967-04,Malaysia,12429,458
1967-04,Indonesia,2011,360
1967-04,Thailand,2903,764
1967-04,Philippines,729,608
1967-04,Vietnam,na,704
1967-04,China,na,156
1967-04,Hong Kong,2718,344
1967-04,Japan,266,392
1967-04,United Kingdom,643,826
1967-04,France,na,250
1967-04,Germany,na,276
1967-05,Malaysia,11100,458
1967-05,Indonesia,1821,360
1967-05,Thailand,3344,764
1967-05,Philippines,832,608
1967-05,Vietnam,na,704
1967-05,China,na,156
1967-05,Hong Kong,3384,344
1967-05,Japan,283,392
1967-05,United Kingdom,583,826
1967-05,France,na,250
1967-05,Germany,na,276
1967-06,Malaysia,10563,458
1967-06,Indonesia,1944,360
1967-06,Thailand,2426,764
1967-06,Philippines,571,608
1967-06,Vietnam,na,704
1967-06,China,na,156
1967-06,Hong Kong,2252,344
1967-06,Japan,299,392
1967-06,United Kingdom,729,826
1967-06,France,na,250
1967-06,Germany,na,276
1967-07,Malaysia,10662,458
1967-07,Indonesia,2389,360
1967-07,Thailand,3218,764
1967-07,Philippines,731,608
1967-07,Vietnam,na,704
1967-07,China,na,156
1967-07,Hong Kong,3252,344
1967-07,Japan,313,392
1967-07,United Kingdom,2368,826
1967-07,France,na,250
1967-07,Germany,na,276
1967-08,Malaysia,13188,458
1967-08,Indonesia,3060,360
1967-08,Thailand,3358,764
1967-08,Philippines,770,608
1967-08,Vietnam,na,704
1967-08,China,na,156
1967-08,Hong Kong,2793,344
1967-08,Japan,426,392
1967-08,United Kingdom,768,826
1967-08,France,na,250
1967-08,Germany,na,276
1967-09,Malaysia,11006,458
1967-09,Indonesia,2501,360
1967-09,Thailand,2746,764
1967-09,Philippines,576,608
1967-09,Vietnam,na,704
1967-09,China,na,156
1967-09,Hong Kong,2452,344
1967-09,Japan,448,392
1967-09,United Kingdom,1015,826
1967-09,France,na,250
1967-09,Germany,na,276
1967-10,Malaysia,10629,458
1967-10,Indonesia,2890,360
1967-10,Thailand,3505,764
1967-10,Philippines,746,608
1967-10,Vietnam,na,704
1967-10,China,na,156
1967-10,Hong Kong,3014,344
1967-10,Japan,299,392
1967-10,United Kingdom,920,826
1967-10,France,na,250
1967-10,Germany,na,276
1967-11,Malaysia,10761,458
1967-11,Indonesia,2719,360
1967-11,Thailand,4138,764
1967-11,Philippines,803,608
1967-11,Vietnam,na,704
1967-11,China,na,156
1967-11,Hong Kong,2997,344
1967-11,Japan,306,392
1967-11,United Kingdom,616,826
1967-11,France,na,250
1967-11,Germany,na,276
1967-12,Malaysia,12934,458
1967-12,Indonesia,3082,360
1967-12,Thailand,3416,764
1967-12,Philippines,875,608
1967-12,Vietnam,na,704
1967-12,China,na,156
1967-12,Hong Kong,2481,344
1967-12,Japan,440,392
1967-12,United Kingdom,1511,826
1967-12,France,na,250
1967-12,Germany,na,276
1968-01,Malaysia,12324,458
1968-01,Indonesia,2514,360
1968-01,Thailand,2980,764
1968-01,Philippines,646,608
1968-01,Vietnam,na,704
1968-01,China,na,156
1968-01,Hong Kong,1921,344
1968-01,Japan,389,392
1968-01,United Kingdom,740,826
1968-01,France,na,250
1968-01,Germany,na,276
1968-02,Malaysia,11610,458
1968-02,Indonesia,2598,360
1968-02,Thailand,3126,764
1968-02,Philippines,747,608
1968-02,Vietnam,na,704
1968-02,China,na,156
1968-02,Hong Kong,2022,344
1968-02,Japan,302,392
1968-02,United Kingdom,591,826
1968-02,France,na,250
1968-02,Germany,na,276
1968-03,Malaysia,11481,458
1968-03,Indonesia,3181,360
1968-03,Thailand,3012,764
1968-03,Philippines,789,608
1968-03,Vietnam,na,704
1968-03,China,na,156
1968-03,Hong Kong,2491,344
1968-03,Japan,384,392
1968-03,United Kingdom,854,826
1968-03,France,na,250
1968-03,Germany,na,276
1968-04,Malaysia,13073,458
1968-04,Indonesia,3747,360
1968-04,Thailand,3677,764
1968-04,Philippines,822,608
1968-04,Vietnam,na,704
1968-04,China,na,156
1968-04,Hong Kong,3040,344
1968-04,Japan,381,392
1968-04,United Kingdom,786,826
1968-04,France,na,250
1968-04,Germany,na,276
1968-05,Malaysia,11522,458
1968-05,Indonesia,3409,360
1968-05,Thailand,3775,764
1968-05,Philippines,882,608
1968-05,Vietnam,na,704
1968-05,China,na,156
1968-05,Hong Kong,3490,344
1968-05,Japan,434,392
1968-05,United Kingdom,562,826
1968-05,France,na,250
1968-05,Germany,na,276
1968-06,Malaysia,10904,458
1968-06,Indonesia,3036,360
1968-06,Thailand,2991,764
1968-06,Philippines,782,608
1968-06,Vietnam,na,704
