month,countries,value,country_code
1966-08,Philippines,569,608
1966-08,Vietnam,na,704
1966-08,China,na,156
1966-08,Hong Kong,2232,344
1966-08,Japan,319,392
1966-08,United Kingdom,832,826
1966-08,France,na,250
1966-08,Germany,na,276
1966-09,Malaysia,8968,458
1966-09,Indonesia,446,360
1966-09,Thailand,2000,764
1966-09,Philippines,431,608
1966-09,Vietnam,na,704
1966-09,China,na,156
1966-09,Hong Kong,2276,344
1966-09,Japan,304,392
1966-09,United Kingdom,2461,826
1966-09,France,na,250
1966-09,Germany,na,276
1966-10,Malaysia,9642,458
1966-10,Indonesia,658,360
1966-10,Thailand,2825,764
1966-10,Philippines,496,608
1966-10,Vietnam,na,704
1966-10,China,na,156
1966-10,Hong Kong,2726,344
1966-10,Japan,266,392
1966-10,United Kingdom,524,826
1966-10,France,na,250
1966-10,Germany,na,276
1966-11,Malaysia,10043,458
1966-11,Indonesia,765,360
1966-11,Thailand,3269,764
1966-11,Philippines,634,608
1966-11,Vietnam,na,704
1966-11,China,na,156
1966-11,Hong Kong,2758,344
1966-11,Japan,197,392
1966-11,United Kingdom,529,826
1966-11,France,na,250
1966-11,Germany,na,276
1966-12,Malaysia,12809,458
1966-12,Indonesia,930,360
1966-12,Thailand,3114,764
1966-12,Philippines,645,608
1966-12,Vietnam,na,704
1966-12,China,na,156
1966-12,Hong Kong,2312,344
1966-12,Japan,232,392
1966-12,United Kingdom,659,826
1966-12,France,na,250
1966-12,Germany,na,276
1967-01,Malaysia,10512,458
1967-01,Indonesia,963,360
1967-01,Thailand,2018,764
1967-01,Philippines,434,608
1967-01,Vietnam,na,704
1967-01,China,na,156
1967-01,Hong Kong,1652,344
1967-01,Japan,198,392
1967-01,United Kingdom,1659,826
1967-01,France,na,250
1967-01,Germany,na,276
1967-02,Malaysia,10104,458
1967-02,Indonesia,1116,360
1967-02,Thailand,2058,764
1967-02,Philippines,474,608
1967-02,Vietnam,na,704
1967-02,China,na,156
1967-02,Hong Kong,2236,344
